epoch,beta,train_recon,train_kl,train_elbo,val_elbo,kl_dim_min,kl_dim_mean,kl_dim_max,active_dims,seconds
1,0.1,8.2444,7.1381,-15.3825,-14.8639,0.372,1.0087,2.3463,8,67.2
2,0.2,7.067,6.6649,-13.7319,-13.1641,0.3607,0.7864,1.9468,8,76.4
3,0.3,7.1634,5.762,-12.9254,-12.331,0.339,0.6688,1.632,8,82.7
4,0.4,7.2397,5.1297,-12.3693,-11.8528,0.3741,0.6049,1.4631,8,86.7
5,0.5,7.2608,4.8761,-12.1369,-11.7288,0.3625,0.5883,1.3657,8,79.5
6,0.6,7.2906,4.7131,-12.0037,-11.6067,0.3397,0.5693,1.2702,8,79.1
7,0.7,7.3413,4.5711,-11.9124,-11.4907,0.3443,0.5442,1.13,8,78.4
8,0.8,7.5042,4.2931,-11.7973,-11.2629,0.3442,0.4779,0.6424,8,75.4
9,0.9,7.5653,4.0005,-11.5657,-11.2116,0.3595,0.4931,0.6363,8,76.9
10,1.0,7.5311,3.9519,-11.483,-11.1441,0.34,0.4844,0.6374,8,97.6
11,1.0,7.504,3.9473,-11.4513,-11.1519,0.3468,0.4858,0.6451,8,88.8
12,1.0,7.488,3.9466,-11.4346,-11.0285,0.3517,0.469,0.5912,8,82.1
13,1.0,7.4745,3.9432,-11.4177,-11.0846,0.3672,0.4854,0.632,8,95.3
14,1.0,7.4621,3.9432,-11.4053,-11.0461,0.3575,0.4781,0.595,8,97.2
15,1.0,7.4529,3.938,-11.3908,-11.1019,0.3666,0.4845,0.6162,8,95.1
16,1.0,7.4441,3.9364,-11.3805,-11.0351,0.3647,0.481,0.6084,8,92.5
17,1.0,7.4363,3.9345,-11.3709,-11.0505,0.335,0.4733,0.6079,8,99.0
