model_protocol,c_u,c_o,mean_realized_cost_mean,mean_realized_cost_std,service_level_mean,service_level_std,fill_rate_mean,fill_rate_std,mean_overstock_mean,mean_overstock_std,crps_mean,crps_std,coverage_90_mean,coverage_90_std
cvae,1,1,18.1409,0.0013,0.5351,0.0001,0.7701,0.0,5.9109,0.0005,13.642,0.0008,0.8897,0.0
cvae,1,3,26.3024,0.0037,0.3038,0.0001,0.6314,0.0,2.2315,0.0008,13.642,0.0008,0.8897,0.0
cvae,3,1,34.3531,0.0039,0.765,0.0002,0.8749,0.0,14.3914,0.0006,13.642,0.0008,0.8897,0.0
cvae_marginal,1,1,22.8737,0.0014,0.5516,0.0001,0.7036,0.0,7.1029,0.0007,13.642,0.0008,0.8897,0.0
cvae_marginal,1,3,33.2562,0.0013,0.3208,0.0,0.5003,0.0,2.224,0.0004,13.642,0.0008,0.8897,0.0
cvae_marginal,3,1,42.8901,0.0021,0.7946,0.0001,0.8546,0.0,19.6775,0.0012,13.642,0.0008,0.8897,0.0
empirical,1,1,29.6558,0.0033,0.5498,0.0002,0.7531,0.0,16.5206,0.0031,21.8944,0.0006,0.7891,0.0001
empirical,1,3,45.1524,0.0115,0.3377,0.0001,0.5514,0.0001,7.0954,0.0035,21.8944,0.0006,0.7891,0.0001
empirical,3,1,52.477,0.0027,0.7413,0.0,0.8695,0.0,31.6502,0.0045,21.8944,0.0006,0.7891,0.0001
gaussian,1,1,29.9347,0.0009,0.5799,0.0001,0.787,0.0,18.605,0.0006,23.2512,0.0001,0.5675,0.0001
gaussian,1,3,51.0291,0.0008,0.4412,0.0,0.6944,0.0,11.5907,0.0001,23.2512,0.0001,0.5675,0.0001
gaussian,3,1,50.9712,0.0006,0.701,0.0001,0.8529,0.0,27.5007,0.0018,23.2512,0.0001,0.5675,0.0001
negative_binomial,1,1,29.1655,0.0006,0.5462,0.0002,0.7584,0.0,16.3115,0.0016,22.6612,0.0001,0.6232,0.0001
negative_binomial,1,3,48.3035,0.0033,0.4056,0.0001,0.6576,0.0,10.0289,0.0013,22.6612,0.0001,0.6232,0.0001
negative_binomial,3,1,51.202,0.0029,0.6888,0.0001,0.8405,0.0,25.7453,0.0006,22.6612,0.0001,0.6232,0.0001
poisson,1,1,29.6283,0.0008,0.5692,0.0,0.7748,0.0,17.6492,0.0006,26.6456,0.0003,0.3738,0.0002
poisson,1,3,59.4441,0.0006,0.4932,0.0001,0.7412,0.0,15.2263,0.0001,26.6456,0.0003,0.3738,0.0002
poisson,3,1,51.609,0.0001,0.6429,0.0,0.8046,0.0,20.4227,0.0005,26.6456,0.0003,0.3738,0.0002
